report_period_start,report_period_end,interval_start,interval_end,container_name,image_name,pod,owner_name,owner_kind,workload,workload_type,namespace,node,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
,,2023-03-22T06:12:05.532256,2023-03-22T06:27:05.532256,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,4.017995042460194,2.199331055364261,5.848043240397237,4.017995042460194,0,0,0,2733000000,2733000000,2733000000,2733000000,1036520679.2258065,1015349248,1049432064,1036520679.2258065,1004761880.7741935,1003798528,1005740032,1004761880.7741935
,,2023-03-22T06:12:05.532256,2023-03-22T06:27:05.532256,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,4.593135013622231,2.3056525871312865,7.133250587099853,4.593135013622231,0,0,0,2733000000,2733000000,2733000000,2733000000,985278054.3999999,908140544,1003888640,985278054.3999999,971339639.4666667,890687488,986607616,971339639.4666667
,,2023-03-22T06:12:05.532256,2023-03-22T06:27:05.532256,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,4.088597907975523,1.8580000919057056,6.373423703829758,4.088597907975523,0,0,0,2733000000,2733000000,2733000000,2733000000,1051333797.1612903,1048858624,1058586624,1051333797.1612903,1033081889.032258,1032171520,1035845632,1033081889.032258
,,2023-03-22T06:27:05.474837,2023-03-22T06:42:05.474837,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,3.9063844522088758,1.8387400456393759,6.148125535498063,3.9063844522088758,0,0,0,2733000000,2733000000,2733000000,2733000000,1016096041.2903227,1015447552,1018126336,1016096041.2903227,1003894189.4193546,1003814912,1003995136,1003894189.4193546
,,2023-03-22T06:27:05.474837,2023-03-22T06:42:05.474837,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,4.608316321947819,2.6840379189311836,5.892372556760287,4.608316321947819,0,0,0,2733000000,2733000000,2733000000,2733000000,995282944.0000001,994975744,996409344,995282944.0000001,982912477.8666666,982888448,982945792,982912477.8666666
,,2023-03-22T06:27:05.474837,2023-03-22T06:42:05.474837,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,4.11598267043113,1.7354040717318033,5.931614781636744,4.11598267043113,0,0,0,2733000000,2733000000,2733000000,2733000000,1049202423.7419355,1048801280,1050333184,1049202423.7419355,1032215122.5806452,1032146944,1032306688,1032215122.5806452
,,2023-03-22T06:42:05.532263,2023-03-22T06:57:05.532263,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,3.9549675470233594,2.2762751480331644,5.417150038100469,3.9549675470233594,0,0,0,2733000000,2733000000,2733000000,2733000000,1016143079.2258065,1015259136,1018310656,1016143079.2258065,1003883354.8387097,1003782144,1003978752,1003883354.8387097
,,2023-03-22T06:42:05.532263,2023-03-22T06:57:05.532263,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,4.726227372495665,3.052311713232969,6.822200684769389,4.726227372495665,0,0,0,2733000000,2733000000,2733000000,2733000000,995176994.1333334,994979840,995495936,995176994.1333334,982909474.1333333,982880256,982962176,982909474.1333333
,,2023-03-22T06:42:05.532263,2023-03-22T06:57:05.532263,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,4.118925105981115,2.1342201236635447,6.001133596633251,4.118925105981115,0,0,0,2733000000,2733000000,2733000000,2733000000,1049456772.1290323,1048662016,1051308032,1049456772.1290323,1032420451.0967742,1032134656,1032896512,1032420451.0967742
,,2023-03-22T06:57:05.532251,2023-03-22T07:12:05.532251,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,4.034783632516497,2.453438244201243,5.340996782062575,4.034783632516497,0,0,0,2733000000,2733000000,2733000000,2733000000,1016097494.7096775,1015468032,1018134528,1016097494.7096775,1003877541.1612904,1003790336,1003970560,1003877541.1612904
,,2023-03-22T06:57:05.532251,2023-03-22T07:12:05.532251,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,4.701440204801037,2.2914971918954206,7.019762011268176,4.701440204801037,0,0,0,2733000000,2733000000,2733000000,2733000000,994481766.4000001,992169984,995676160,994481766.4000001,982888994.1333332,982863872,982921216,982888994.1333332
,,2023-03-22T06:57:05.532251,2023-03-22T07:12:05.532251,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,4.1119810799123835,2.1753250075659403,6.08608336726514,4.1119810799123835,0,0,0,2733000000,2733000000,2733000000,2733000000,880603532.3870969,830844928,1050914816,880603532.3870969,852009620.6451614,799383552,1032245248,852009620.6451614
