report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 13:15:01 +0000 UTC,2023-05-29 13:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007185,0.004363,0.012998,0.007185,0,0,0,268435456,268435456,536870912,536870912,258748019.612903,256040960,260407296,258748019.612903,243697862.193548,243339264,244162560,243697862.193548
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 13:30:01 +0000 UTC,2023-05-29 13:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007194,0.002224,0.015474,0.007194,0,0,0,268435456,268435456,536870912,536870912,126408157.866667,125837312,128249856,126408157.866667,118239914.666667,117669888,120041472,118239914.666667
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 13:45:01 +0000 UTC,2023-05-29 14:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006408,0.003723,0.009057,0.006408,0,0,0,268435456,268435456,536870912,536870912,128985021.935484,128061440,129667072,128985021.935484,118204085.677419,117288960,118894592,118204085.677419
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 14:00:01 +0000 UTC,2023-05-29 14:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006286,0.003175,0.00831,0.006286,0,0,0,268435456,268435456,536870912,536870912,274350212.129032,274337792,274579456,274350212.129032,261357568,261357568,261357568,261357568
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 14:15:01 +0000 UTC,2023-05-29 14:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007183,0.003065,0.017874,0.007183,0,0,0,268435456,268435456,536870912,536870912,257706842.83871,255447040,259911680,257706842.83871,244915827.612903,244162560,246284288,244915827.612903
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 14:30:01 +0000 UTC,2023-05-29 14:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006678,0.002644,0.010867,0.006678,0,0,0,268435456,268435456,536870912,536870912,208512429.419355,208486400,208683008,208512429.419355,184618347.354839,184602624,184741888,184618347.354839
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 14:45:01 +0000 UTC,2023-05-29 15:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006284,0.003592,0.008797,0.006284,0,0,0,268435456,268435456,536870912,536870912,130358238.967742,130260992,130576384,130358238.967742,119577566.967742,119488512,119730176,119577566.967742
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 15:00:01 +0000 UTC,2023-05-29 15:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006582,0.002725,0.010324,0.006582,0,0,0,268435456,268435456,536870912,536870912,208505294.451613,208486400,208687104,208505294.451613,184612533.677419,184602624,184745984,184612533.677419
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 15:15:01 +0000 UTC,2023-05-29 15:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006091,0.00357,0.009242,0.006091,0,0,0,268435456,268435456,536870912,536870912,131199522.133333,131162112,131334144,131199522.133333,123041928.533333,123006976,123150336,123041928.533333
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 15:30:01 +0000 UTC,2023-05-29 15:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006356,0.003286,0.008818,0.006356,0,0,0,268435456,268435456,536870912,536870912,274370163.612903,274337792,275124224,274370163.612903,261361796.129032,261357568,261488640,261361796.129032
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 15:45:01 +0000 UTC,2023-05-29 16:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006253,0.003874,0.00904,0.006253,0,0,0,268435456,268435456,536870912,536870912,261043365.16129,258400256,261636096,261043365.16129,247236409.806452,247205888,247250944,247236409.806452
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 16:00:01 +0000 UTC,2023-05-29 16:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.014148,0.002837,0.128097,0.014148,0,0,0,268435456,268435456,536870912,536870912,208685518.451613,208490496,209272832,208685518.451613,184755100.903226,184606720,185233408,184755100.903226
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 16:15:01 +0000 UTC,2023-05-29 16:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.010074,0.003371,0.0352,0.010074,0,0,0,268435456,268435456,536870912,536870912,135514248.533333,131342336,141918208,135514248.533333,127295078.4,123154432,133652480,127295078.4
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 16:30:01 +0000 UTC,2023-05-29 16:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.011666,0.003538,0.116997,0.011666,0,0,0,268435456,268435456,536870912,536870912,274383905.032258,274083840,276393984,274383905.032258,261369063.225806,261029888,263331840,261369063.225806
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 16:45:01 +0000 UTC,2023-05-29 17:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.015277,0.002171,0.06818,0.015277,0.000006,0.000006,0.000006,268435456,268435456,536870912,536870912,220371010.064516,143798272,265302016,220371010.064516,206691955.612903,130109440,251457536,206691955.612903
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-05 00:00:01 +0000 UTC,2023-06-05 00:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.018951,0.004139,0.279079,0.018951,0,0,0,268435456,268435456,536870912,536870912,136600939.354839,130371584,148590592,136600939.354839,125770058.322581,119599104,137744384,125770058.322581
