report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name,cluster_name
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:30:01 +0000 UTC,2023-05-30 19:45:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.4e-05,0.0,0.000157,3.4e-05,,,,,,,,26497024.0,26492928.0,26505216.0,26497024.0,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:45:01 +0000 UTC,2023-05-30 20:00:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.4e-05,0.0,0.000162,3.4e-05,,,,,,,,26497156.129032,26492928.0,26505216.0,26497156.129032,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:00:01 +0000 UTC,2023-05-30 20:15:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.5e-05,0.0,0.00015900000000000002,3.5e-05,,,,,,,,26498213.16129,26492928.0,26501120.0,26498213.16129,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:15:01 +0000 UTC,2023-05-30 20:30:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.5e-05,0.0,0.000164,3.5e-05,,,,,,,,26498081.032258,26492928.0,26505216.0,26498081.032258,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:30:01 +0000 UTC,2023-05-30 20:45:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.3e-05,0.0,0.000154,3.3e-05,,,,,,,,26500062.967742,26492928.0,26509312.0,26500062.967742,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:45:01 +0000 UTC,2023-05-30 21:00:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.5e-05,0.0,0.000161,3.5e-05,,,,,,,,26499402.322581,26492928.0,26505216.0,26499402.322581,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:00:01 +0000 UTC,2023-05-30 21:15:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.3e-05,0.0,0.000154,3.3e-05,,,,,,,,26498873.806452,26492928.0,26505216.0,26498873.806452,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:15:01 +0000 UTC,2023-05-30 21:30:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.3e-05,0.0,0.000162,3.3e-05,,,,,,,,26500987.870968,26492928.0,26505216.0,26500987.870968,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:30:01 +0000 UTC,2023-05-30 21:45:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.3e-05,0.0,0.00016,3.3e-05,,,,,,,,26500987.870968,26492928.0,26505216.0,26500987.870968,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:45:01 +0000 UTC,2023-05-30 22:00:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.4e-05,0.0,0.00016,3.4e-05,,,,,,,,26496891.870968,26492928.0,26501120.0,26496891.870968,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
