report_period_start,report_period_end,start_timestamp,end_timestamp,namespace,cpu_request_namespace_sum,cpu_limit_namespace_sum,cpu_usage_namespace_avg,cpu_usage_namespace_min,cpu_usage_namespace_max,cpu_throttle_namespace_avg,cpu_throttle_namespace_max,cpu_throttle_namespace_min,memory_request_namespace_sum,memory_limit_namespace_sum,memory_usage_namespace_avg,memory_usage_namespace_min,memory_usage_namespace_max,memory_rss_usage_namespace_avg,memory_rss_usage_namespace_min,memory_rss_usage_namespace_max,namespace_totalpods_sum,namespace_running_pods_sum
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 19:30:01 +0000 UTC,2023-05-27 19:45:00 +0000 UTC,clowder-system,0,0,0.000024,0,0.000081,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 19:45:01 +0000 UTC,2023-05-27 20:00:00 +0000 UTC,clowder-system,0,0,0.000037,0,0.000115,,,0,0,0,2933264.516129,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 20:00:01 +0000 UTC,2023-05-27 20:15:00 +0000 UTC,clowder-system,0,0,0.000024,0,0.0001,,,0,0,0,2924940.387097,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 20:15:01 +0000 UTC,2023-05-27 20:30:00 +0000 UTC,clowder-system,0,0,0.000026,0,0.000103,,,0,0,0,2924808.258065,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 20:30:01 +0000 UTC,2023-05-27 20:45:00 +0000 UTC,clowder-system,0,0,0.00001,0,0.000031,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 20:45:01 +0000 UTC,2023-05-27 21:00:00 +0000 UTC,clowder-system,0,0,0.000031,0,0.000084,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 21:00:01 +0000 UTC,2023-05-27 21:15:00 +0000 UTC,clowder-system,0,0,0.000034,0,0.000105,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 21:15:01 +0000 UTC,2023-05-27 21:30:00 +0000 UTC,clowder-system,0,0,0.000035,0,0.00011,,,0,0,0,2933264.516129,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 21:30:01 +0000 UTC,2023-05-27 21:45:00 +0000 UTC,clowder-system,0,0,0.000032,0,0.000119,,,0,0,0,2924808.258065,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 21:45:01 +0000 UTC,2023-05-27 22:00:00 +0000 UTC,clowder-system,0,0,0.000029,0,0.000122,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:00:01 +0000 UTC,2023-05-27 22:15:00 +0000 UTC,clowder-system,0,0,0.000023,0,0.00008,,,0,0,0,2933264.516129,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:15:01 +0000 UTC,2023-05-27 22:30:00 +0000 UTC,clowder-system,0,0,0.000029,0.000005,0.000077,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:30:01 +0000 UTC,2023-05-27 22:45:00 +0000 UTC,clowder-system,0,0,0.000022,0,0.000068,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:45:01 +0000 UTC,2023-05-27 23:00:00 +0000 UTC,clowder-system,0,0,0.000021,0,0.000085,,,0,0,0,2924808.258065,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:00:01 +0000 UTC,2023-05-27 23:15:00 +0000 UTC,clowder-system,0,0,0.000016,0,0.000061,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:15:01 +0000 UTC,2023-05-27 23:30:00 +0000 UTC,clowder-system,0,0,0.00001,0,0.000025,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:30:01 +0000 UTC,2023-05-27 23:45:00 +0000 UTC,clowder-system,0,0,0.000013,0,0.000095,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:45:01 +0000 UTC,2023-05-28 00:00:00 +0000 UTC,clowder-system,0,0,0.000012,0,0.000058,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:00:01 +0000 UTC,2023-05-28 00:15:00 +0000 UTC,clowder-system,0,0,0.00001,0,0.000024,,,0,0,0,2924808.258065,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:15:01 +0000 UTC,2023-05-28 00:30:00 +0000 UTC,clowder-system,0,0,0.000012,0,0.000098,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:30:01 +0000 UTC,2023-05-28 00:45:00 +0000 UTC,clowder-system,0,0,0.000017,0,0.000082,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:45:01 +0000 UTC,2023-05-28 01:00:00 +0000 UTC,clowder-system,0,0,0.000014,0,0.000055,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:00:01 +0000 UTC,2023-05-28 01:15:00 +0000 UTC,clowder-system,0,0,0.00001,0,0.000025,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:15:01 +0000 UTC,2023-05-28 01:30:00 +0000 UTC,clowder-system,0,0,0.000013,0,0.000097,,,0,0,0,2924808.258065,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:30:01 +0000 UTC,2023-05-28 01:45:00 +0000 UTC,clowder-system,0,0,0.000009,0,0.000025,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:45:01 +0000 UTC,2023-05-28 02:00:00 +0000 UTC,clowder-system,0,0,0.000012,0,0.000058,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:00:01 +0000 UTC,2023-05-28 02:15:00 +0000 UTC,clowder-system,0,0,0.000013,0,0.000091,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:15:01 +0000 UTC,2023-05-28 02:30:00 +0000 UTC,clowder-system,0,0,0.00001,0,0.000023,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:30:01 +0000 UTC,2023-05-28 02:45:00 +0000 UTC,clowder-system,0,0,0.000011,0,0.000085,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:45:01 +0000 UTC,2023-05-28 03:00:00 +0000 UTC,clowder-system,0,0,0.000004,0,0.000013,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:00:01 +0000 UTC,2023-05-28 03:15:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:15:01 +0000 UTC,2023-05-28 03:30:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:30:01 +0000 UTC,2023-05-28 03:45:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:45:01 +0000 UTC,2023-05-28 04:00:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:00:01 +0000 UTC,2023-05-28 04:15:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:15:01 +0000 UTC,2023-05-28 04:30:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:30:01 +0000 UTC,2023-05-28 04:45:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:45:01 +0000 UTC,2023-05-28 05:00:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:00:01 +0000 UTC,2023-05-28 05:15:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:15:01 +0000 UTC,2023-05-28 05:30:00 +0000 UTC,clowder-system,0,0,0.000002,0,0.000045,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:30:01 +0000 UTC,2023-05-28 05:45:00 +0000 UTC,clowder-system,0,0,0.000018,0.000005,0.000072,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:45:01 +0000 UTC,2023-05-28 06:00:00 +0000 UTC,clowder-system,0,0,0.000027,0,0.00011,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 06:00:01 +0000 UTC,2023-05-28 06:15:00 +0000 UTC,clowder-system,0,0,0,0,0,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
