report_period_start,report_period_end,start_timestamp,end_timestamp,namespace,cpu_request_namespace_sum,cpu_limit_namespace_sum,cpu_usage_namespace_avg,cpu_usage_namespace_min,cpu_usage_namespace_max,cpu_throttle_namespace_avg,cpu_throttle_namespace_max,cpu_throttle_namespace_min,memory_request_namespace_sum,memory_limit_namespace_sum,memory_usage_namespace_avg,memory_usage_namespace_min,memory_usage_namespace_max,memory_rss_usage_namespace_avg,memory_rss_usage_namespace_min,memory_rss_usage_namespace_max,namespace_totalpods_sum,namespace_running_pods_sum
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 08:30:01 +0000 UTC,2023-05-28 08:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000768,0.000334,0.001239,0.000982,0.000982,,52428800,104857600,38330368,38244352,38506496,25275887.483871,25198592,25382912,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 08:45:01 +0000 UTC,2023-05-28 09:00:00 +0000 UTC,cert-manager,0.05,0.1,0.00076,0.000329,0.001058,0.000187,0.000187,,52428800,104857600,38269852.903226,38244352,38506496,25198592,25198592,25198592,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 09:00:01 +0000 UTC,2023-05-28 09:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000772,0.000331,0.001117,0.000563,0.000563,,52428800,104857600,38252940.387097,38244352,38506496,25198592,25198592,25198592,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 09:15:01 +0000 UTC,2023-05-28 09:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000754,0.000333,0.001341,0.000775,0.000775,,52428800,104857600,38299581.935484,38244352,38572032,25236513.032258,25198592,25264128,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 09:30:01 +0000 UTC,2023-05-28 09:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000752,0.000373,0.001109,0.001051,0.001051,,52428800,104857600,38309888,38309888,38309888,25264128,25264128,25264128,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 09:45:01 +0000 UTC,2023-05-28 10:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000829,0.000397,0.002681,0.001481,0.001481,,52428800,104857600,38731379.612903,38260736,40615936,25696850.580645,25264128,27369472,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 10:00:01 +0000 UTC,2023-05-28 10:15:00 +0000 UTC,cert-manager,0.05,0.1,0.00075,0.000362,0.001036,0.000519,0.000519,,52428800,104857600,38364589.419355,38338560,38600704,25342744.774194,25333760,25374720,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 10:15:01 +0000 UTC,2023-05-28 10:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000772,0.000365,0.001309,0.000891,0.000891,,52428800,104857600,38266946.064516,38223872,38490112,25261881.806452,25219072,25485312,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 10:30:01 +0000 UTC,2023-05-28 10:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000751,0.000373,0.001265,0.000921,0.000921,,52428800,104857600,38224268.387097,38223872,38227968,25219072,25219072,25219072,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 10:45:01 +0000 UTC,2023-05-28 11:00:00 +0000 UTC,cert-manager,0.05,0.1,0.00077,0.000396,0.001371,0.000412,0.000412,,52428800,104857600,38224268.387097,38223872,38227968,25219072,25219072,25219072,1,1
