start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_sum_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Thu Mar 23 18:34:42 UTC 2023,Thu Mar 23 18:49:42 UTC 2023,9.24,27.72,9.24,27.72,0.002344559896737,0.000781519965579,0.003224922895121,0.001344060866783,0.000214796264966,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.071264367816,57.3570881226054,58.0114942528736,56.9333333333333
Thu Mar 23 18:49:42 UTC 2023,Thu Mar 23 19:04:43 UTC 2023,9.24,27.72,9.24,27.72,0.002349837633471,0.000783279211157,0.003507119455996,0.00155206596634,0.000162789799894,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.554022988506,57.5180076628353,57.9149425287356,56.8689655172414
Thu Mar 23 19:04:43 UTC 2023,Thu Mar 23 19:19:43 UTC 2023,9.24,27.72,9.24,27.72,0.002338936548784,0.000779645516261,0.003487893062023,0.001441581795613,0.000203902468396,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.84367816092,57.6145593869732,58.2206896551724,56.8689655172414
Thu Mar 23 19:19:43 UTC 2023,Thu Mar 23 19:34:44 UTC 2023,9.24,27.72,9.24,27.72,0.00233731338211,0.000779104460703,0.003213494294323,0.001443430796886,0.000218383998921,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.022988505747,57.3409961685824,58.2367816091954,56.7241379310345
Thu Mar 23 19:34:44 UTC 2023,Thu Mar 23 19:49:44 UTC 2023,9.24,27.72,9.24,27.72,0.002363299617751,0.00078776653925,0.003493474633433,0.00150137366727,0.000186587171629,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,171.87816091954,57.2927203065134,57.8022988505747,56.6436781609195
Thu Mar 23 19:49:44 UTC 2023,Thu Mar 23 20:04:45 UTC 2023,9.24,27.72,9.24,27.72,0.002353381700038,0.000784460566679,0.003229026674914,0.001466780668125,0.00022759946684,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,171.55632183908,57.1854406130268,57.6091954022989,56.7241379310345
Thu Mar 23 20:04:45 UTC 2023,Thu Mar 23 20:19:45 UTC 2023,9.24,27.72,9.24,27.72,0.002328301609959,0.000776100536653,0.003555676861045,0.00158562323389,0.000224091329922,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,171.813793103448,57.2712643678161,57.8344827586207,56.8689655172414
Thu Mar 23 20:19:45 UTC 2023,Thu Mar 23 20:34:46 UTC 2023,9.24,27.72,9.24,27.72,0.002360694295365,0.000786898098455,0.003170331660658,0.001288311734485,0.000214306699733,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.68275862069,57.5609195402299,58.2689655172414,56.8850574712644
Thu Mar 23 20:34:46 UTC 2023,Thu Mar 23 20:49:46 UTC 2023,9.24,27.72,9.24,27.72,0.002359396971297,0.000786465657099,0.003332757600583,0.001440604473464,0.00023326833422,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.377011494253,57.4590038314176,57.9149425287356,56.7402298850575
Thu Mar 23 20:49:46 UTC 2023,Thu Mar 23 21:04:47 UTC 2023,9.24,27.72,9.24,27.72,0.002409444220054,0.000803148073351,0.003185010538436,0.001374884803469,0.000204663397744,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,173.326436781609,57.7754789272031,58.3333333333333,57.2229885057471
