start_timestamp,end_timestamp,container_name,image_name,namespace,k8_object_name,k8_object_type,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_sum,cpu_usage_container_avg,cpu_usage_container_max,cpu_usage_container_min,cpu_throttle_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_sum,memory_usage_container_avg,memory_usage_container_max,memory_usage_container_min,memory_rss_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_max,memory_rss_usage_container_min,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Thu Feb  2 03:21:47 UTC 2023,Thu Feb  2 03:36:48 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.380862840581136,0.126954280193712,0.216505699066329,0.063229084999572,0,0,0,4096000000,12288000000,8192000000,24576000000,6694373666.68387,2231457888.89462,2268528640,2209001472,6660976507.87097,2220325502.62366,2257264640,2199232512,2493186.61034483,831062.203448276,879647.632183908,734966.109195402
Thu Feb  2 03:36:48 UTC 2023,Thu Feb  2 03:51:48 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.213724390229973,0.071241463409991,0.200970435266693,0.02455046143344,0,0,0,4096000000,12288000000,8192000000,24576000000,6695485514.87312,2231828504.95771,2266943488,2209067008,6662015715.92258,2220671905.30753,2255396864,2199293952,1052156.39310345,350718.797701149,370692.626436782,314629.96091954
Thu Feb  2 03:51:48 UTC 2023,Thu Feb  2 04:06:48 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.410226898597842,0.136742299532614,0.200365800233946,0.043907761433123,0,0,0,4096000000,12288000000,8192000000,24576000000,6694305030.05591,2231435010.01864,2266755072,2209062912,6661724653.28172,2220574884.42724,2256007168,2199293952,1664481.94137931,554827.313793103,588303.435632184,489985.888505747
Thu Feb  2 04:06:48 UTC 2023,Thu Feb  2 04:21:49 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.23636012506668,0.07878670835556,0.2154751175675,0.033826210400245,0,0,0,4096000000,12288000000,8192000000,24576000000,6694636352.41291,2231545450.8043,2266087424,2209067008,6662513040.7914,2220837680.2638,2256068608,2199293952,1033812.22413793,344604.074712644,365758.326436782,305026.533333333
Thu Feb  2 04:21:49 UTC 2023,Thu Feb  2 04:36:49 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.312606794664462,0.104202264888154,0.183410296633762,0.032615803734128,0,0,0,4096000000,12288000000,8192000000,24576000000,6694817858.06452,2231605952.68817,2266214400,2209665024,6662651904,2220883968,2256068608,2199891968,1074655.57931035,358218.526436782,383335.370114943,314733.982758621
Thu Feb  2 04:36:49 UTC 2023,Thu Feb  2 04:51:50 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,2.6538885247858,0.884629508261932,1.773117391834,0.073127247866554,0,0,0,4096000000,12288000000,8192000000,24576000000,6695759929.25592,2231919976.41864,2266816512,2209607680,6662934285.76344,2220978095.25448,2256244736,2199830528,10912105.7965517,3637368.59885058,3958795.44022989,3324388.88505747
Thu Feb  2 04:51:50 UTC 2023,Thu Feb  2 05:06:50 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,3.41667635005443,1.13889211668481,2.0098554345003,0.473328943600063,0,0,0,4096000000,12288000000,8192000000,24576000000,6696164411.45806,2232054803.81935,2266902528,2209734656,6663619449.66882,2221206483.22294,2256224256,2199810048,15383652.9126437,5127884.30421456,5875116.11954023,4539935.62068966
Thu Feb  2 05:06:50 UTC 2023,Thu Feb  2 05:21:50 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,3.45623028073557,1.15207676024519,1.77408310653312,0.418802171566252,0,0,0,4096000000,12288000000,8192000000,24576000000,6698588582.8129,2232862860.93763,2269224960,2209767424,6668367964.49032,2222789321.49677,2258526208,2199810048,26718774.1114942,8906258.03716475,9858908.57931035,8049454.64137931
Thu Feb  2 05:21:50 UTC 2023,Thu Feb  2 05:36:51 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,1.93074362791441,0.643581209304803,1.50853377460056,0.261341022166501,0,0,0,4096000000,12288000000,8192000000,24576000000,6698519703.94839,2232839901.31613,2268934144,2209755136,6668538349.28172,2222846116.42724,2258493440,2199810048,11980239.1091954,3993413.03639847,4244491.80689655,3774316.06436782
Thu Feb  2 05:36:51 UTC 2023,Thu Feb  2 05:51:51 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,3.01184887197999,1.00394962399333,2.09068043049968,0.263446243100528,0,0,0,4096000000,12288000000,8192000000,24576000000,6698917584.10323,2232972528.03441,2269122560,2209730560,6668729337.39355,2222909779.13118,2258673664,2199810048,14501031.8057471,4833677.26858238,5555960.99655172,4287275.1091954
